biologicalSystem	effect	efoId	ensemblId	pmid	ref	symptom	target	uberonCode	url
endocrine	activation_general	""	ENSG00000121853	""	HeCaToS	energy homeostasis	GHSR	UBERON_0000949	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
endocrine	inhibition_general	EFO_0000319	ENSG00000121853	""	HeCaToS	cardiovascular effects (might cause reduced rates of left ventricular contraction and relaxation, hypertension, tachycardia)	GHSR	UBERON_0000949	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
endocrine	inhibition_general	HP_0002579	ENSG00000121853	""	HeCaToS	might reduce gastric motility	GHSR	UBERON_0000949	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
endocrine	activation_general	GO_0030252	ENSG00000121853	""	HeCaToS	growth hormone release	GHSR	UBERON_0000949	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
endocrine	activation_general	HP_0003154	ENSG00000121853	""	HeCaToS	adrenocorticotropic hormone release	GHSR	UBERON_0000949	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
endocrine	activation_general	GO_0043400	ENSG00000121853	""	HeCaToS	cortisol release	GHSR	UBERON_0000949	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
endocrine	activation_general	HP_0100738	ENSG00000121853	""	HeCaToS	appetite stimulation	GHSR	UBERON_0000949	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
endocrine	activation_general	HP_0003074	ENSG00000121853	""	HeCaToS	hyperglycemia	GHSR	UBERON_0000949	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
endocrine	activation_general	HP_0040216	ENSG00000121853	""	HeCaToS	reduced insulin secretion	GHSR	UBERON_0000949	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
endocrine	activation_general	EFO_0005251	ENSG00000121853	""	HeCaToS	hypotension	GHSR	UBERON_0000949	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	""	ENSG00000121853	""	HeCaToS	energy homeostasis	GHSR	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	EFO_0000319	ENSG00000121853	""	HeCaToS	cardiovascular effects (might cause reduced rates of left ventricular contraction and relaxation, hypertension, tachycardia)	GHSR	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	HP_0002579	ENSG00000121853	""	HeCaToS	might reduce gastric motility	GHSR	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	GO_0030252	ENSG00000121853	""	HeCaToS	growth hormone release	GHSR	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	HP_0003154	ENSG00000121853	""	HeCaToS	adrenocorticotropic hormone release	GHSR	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	GO_0043400	ENSG00000121853	""	HeCaToS	cortisol release	GHSR	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	HP_0100738	ENSG00000121853	""	HeCaToS	appetite stimulation	GHSR	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	HP_0003074	ENSG00000121853	""	HeCaToS	hyperglycemia	GHSR	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	HP_0040216	ENSG00000121853	""	HeCaToS	reduced insulin secretion	GHSR	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	EFO_0005251	ENSG00000121853	""	HeCaToS	hypotension	GHSR	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	inhibition_acute	HP_0002104	ENSG00000087085	28216264	Lynch et al. (2017)	apnea	ACHE	UBERON_0001016	""
nervous system	inhibition_chronic	HP_0100543	ENSG00000087085	28216264	Lynch et al. (2017)	cognitive deficit	ACHE	UBERON_0001016	""
nervous system	inhibition_chronic	EFO_0004247	ENSG00000087085	28216264	Lynch et al. (2017)	mood change	ACHE	UBERON_0001016	""
nervous system	inhibition_chronic	HP_0012332	ENSG00000087085	28216264	Lynch et al. (2017)	autonomic dysfunction	ACHE	UBERON_0001016	""
nervous system	inhibition_chronic	EFO_0003100	ENSG00000087085	28216264	Lynch et al. (2017)	peripheral neuropathy	ACHE	UBERON_0001016	""
nervous system	inhibition_chronic	MONDO_0044967	ENSG00000087085	28216264	Lynch et al. (2017)	tingling/weakness in limbs	ACHE	UBERON_0001016	""
nervous system	inhibition_chronic	HP_0009027	ENSG00000087085	28216264	Lynch et al. (2017)	foot drop	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	EFO_0009836	ENSG00000087085	28216264	Lynch et al. (2017)	bronchoconstriction	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	EFO_0009835	ENSG00000087085	28216264	Lynch et al. (2017)	increased bronchial secretions	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	""	ENSG00000087085	28216264	Lynch et al. (2017)	muscle relaxation	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	MONDO_0000437	ENSG00000087085	28216264	Lynch et al. (2017)	ataxia	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	GO_0046878	ENSG00000087085	28216264	Lynch et al. (2017)	increased salivation	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	HP_0000632	ENSG00000087085	28216264	Lynch et al. (2017)	lacrimation	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	HP_0000616	ENSG00000087085	28216264	Lynch et al. (2017)	decreased pupil diameter	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	HP_0000622	ENSG00000087085	28216264	Lynch et al. (2017)	blurred vision	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	HP_0000103	ENSG00000087085	28216264	Lynch et al. (2017)	increased urine excretion	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	GO_2000294	ENSG00000087085	28216264	Lynch et al. (2017)	increased defecation	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	HP_0002014	ENSG00000087085	28216264	Lynch et al. (2017)	diarrhea	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	HP_0002017	ENSG00000087085	28216264	Lynch et al. (2017)	vomiting	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	HP_0030972	ENSG00000087085	28216264	Lynch et al. (2017)	increased then decreased blood pressure	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	HP_0031860	ENSG00000087085	28216264	Lynch et al. (2017)	increased then decreased heart rate	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	EFO_0009853	ENSG00000087085	28216264	Lynch et al. (2017)	convulsions	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	HP_0001259	ENSG00000087085	28216264	Lynch et al. (2017)	coma	ACHE	UBERON_0001016	""
nervous system	inhibition_acute	EFO_0000480	ENSG00000087085	28216264	Lynch et al. (2017)	death	ACHE	UBERON_0001016	""
cardiovascular	inhibition_acute	HP_0002104	ENSG00000087085	28216264	Lynch et al. (2017)	apnea	ACHE	UBERON_0004535	""
cardiovascular	inhibition_chronic	HP_0100543	ENSG00000087085	28216264	Lynch et al. (2017)	cognitive deficit	ACHE	UBERON_0004535	""
cardiovascular	inhibition_chronic	EFO_0004247	ENSG00000087085	28216264	Lynch et al. (2017)	mood change	ACHE	UBERON_0004535	""
cardiovascular	inhibition_chronic	HP_0012332	ENSG00000087085	28216264	Lynch et al. (2017)	autonomic dysfunction	ACHE	UBERON_0004535	""
cardiovascular	inhibition_chronic	EFO_0003100	ENSG00000087085	28216264	Lynch et al. (2017)	peripheral neuropathy	ACHE	UBERON_0004535	""
cardiovascular	inhibition_chronic	MONDO_0044967	ENSG00000087085	28216264	Lynch et al. (2017)	tingling/weakness in limbs	ACHE	UBERON_0004535	""
cardiovascular	inhibition_chronic	HP_0009027	ENSG00000087085	28216264	Lynch et al. (2017)	foot drop	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	EFO_0009836	ENSG00000087085	28216264	Lynch et al. (2017)	bronchoconstriction	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	EFO_0009835	ENSG00000087085	28216264	Lynch et al. (2017)	increased bronchial secretions	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	""	ENSG00000087085	28216264	Lynch et al. (2017)	muscle relaxation	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	MONDO_0000437	ENSG00000087085	28216264	Lynch et al. (2017)	ataxia	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	GO_0046878	ENSG00000087085	28216264	Lynch et al. (2017)	increased salivation	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0000632	ENSG00000087085	28216264	Lynch et al. (2017)	lacrimation	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0000616	ENSG00000087085	28216264	Lynch et al. (2017)	decreased pupil diameter	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0000622	ENSG00000087085	28216264	Lynch et al. (2017)	blurred vision	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0000103	ENSG00000087085	28216264	Lynch et al. (2017)	increased urine excretion	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	GO_2000294	ENSG00000087085	28216264	Lynch et al. (2017)	increased defecation	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0002014	ENSG00000087085	28216264	Lynch et al. (2017)	diarrhea	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0002017	ENSG00000087085	28216264	Lynch et al. (2017)	vomiting	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0030972	ENSG00000087085	28216264	Lynch et al. (2017)	increased then decreased blood pressure	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0031860	ENSG00000087085	28216264	Lynch et al. (2017)	increased then decreased heart rate	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	EFO_0009853	ENSG00000087085	28216264	Lynch et al. (2017)	convulsions	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	HP_0001259	ENSG00000087085	28216264	Lynch et al. (2017)	coma	ACHE	UBERON_0004535	""
cardiovascular	inhibition_acute	EFO_0000480	ENSG00000087085	28216264	Lynch et al. (2017)	death	ACHE	UBERON_0004535	""
gastrointestinal	inhibition_acute	HP_0002104	ENSG00000087085	28216264	Lynch et al. (2017)	apnea	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_chronic	HP_0100543	ENSG00000087085	28216264	Lynch et al. (2017)	cognitive deficit	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_chronic	EFO_0004247	ENSG00000087085	28216264	Lynch et al. (2017)	mood change	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_chronic	HP_0012332	ENSG00000087085	28216264	Lynch et al. (2017)	autonomic dysfunction	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_chronic	EFO_0003100	ENSG00000087085	28216264	Lynch et al. (2017)	peripheral neuropathy	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_chronic	MONDO_0044967	ENSG00000087085	28216264	Lynch et al. (2017)	tingling/weakness in limbs	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_chronic	HP_0009027	ENSG00000087085	28216264	Lynch et al. (2017)	foot drop	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	EFO_0009836	ENSG00000087085	28216264	Lynch et al. (2017)	bronchoconstriction	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	EFO_0009835	ENSG00000087085	28216264	Lynch et al. (2017)	increased bronchial secretions	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	""	ENSG00000087085	28216264	Lynch et al. (2017)	muscle relaxation	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	MONDO_0000437	ENSG00000087085	28216264	Lynch et al. (2017)	ataxia	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	GO_0046878	ENSG00000087085	28216264	Lynch et al. (2017)	increased salivation	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	HP_0000632	ENSG00000087085	28216264	Lynch et al. (2017)	lacrimation	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	HP_0000616	ENSG00000087085	28216264	Lynch et al. (2017)	decreased pupil diameter	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	HP_0000622	ENSG00000087085	28216264	Lynch et al. (2017)	blurred vision	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	HP_0000103	ENSG00000087085	28216264	Lynch et al. (2017)	increased urine excretion	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	GO_2000294	ENSG00000087085	28216264	Lynch et al. (2017)	increased defecation	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	HP_0002014	ENSG00000087085	28216264	Lynch et al. (2017)	diarrhea	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	HP_0002017	ENSG00000087085	28216264	Lynch et al. (2017)	vomiting	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	HP_0030972	ENSG00000087085	28216264	Lynch et al. (2017)	increased then decreased blood pressure	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	HP_0031860	ENSG00000087085	28216264	Lynch et al. (2017)	increased then decreased heart rate	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	EFO_0009853	ENSG00000087085	28216264	Lynch et al. (2017)	convulsions	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	HP_0001259	ENSG00000087085	28216264	Lynch et al. (2017)	coma	ACHE	UBERON_0005409	""
gastrointestinal	inhibition_acute	EFO_0000480	ENSG00000087085	28216264	Lynch et al. (2017)	death	ACHE	UBERON_0005409	""
respiratory	inhibition_acute	HP_0002104	ENSG00000087085	28216264	Lynch et al. (2017)	apnea	ACHE	UBERON_0001004	""
respiratory	inhibition_chronic	HP_0100543	ENSG00000087085	28216264	Lynch et al. (2017)	cognitive deficit	ACHE	UBERON_0001004	""
respiratory	inhibition_chronic	EFO_0004247	ENSG00000087085	28216264	Lynch et al. (2017)	mood change	ACHE	UBERON_0001004	""
respiratory	inhibition_chronic	HP_0012332	ENSG00000087085	28216264	Lynch et al. (2017)	autonomic dysfunction	ACHE	UBERON_0001004	""
respiratory	inhibition_chronic	EFO_0003100	ENSG00000087085	28216264	Lynch et al. (2017)	peripheral neuropathy	ACHE	UBERON_0001004	""
respiratory	inhibition_chronic	MONDO_0044967	ENSG00000087085	28216264	Lynch et al. (2017)	tingling/weakness in limbs	ACHE	UBERON_0001004	""
respiratory	inhibition_chronic	HP_0009027	ENSG00000087085	28216264	Lynch et al. (2017)	foot drop	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	EFO_0009836	ENSG00000087085	28216264	Lynch et al. (2017)	bronchoconstriction	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	EFO_0009835	ENSG00000087085	28216264	Lynch et al. (2017)	increased bronchial secretions	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	""	ENSG00000087085	28216264	Lynch et al. (2017)	muscle relaxation	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	MONDO_0000437	ENSG00000087085	28216264	Lynch et al. (2017)	ataxia	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	GO_0046878	ENSG00000087085	28216264	Lynch et al. (2017)	increased salivation	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	HP_0000632	ENSG00000087085	28216264	Lynch et al. (2017)	lacrimation	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	HP_0000616	ENSG00000087085	28216264	Lynch et al. (2017)	decreased pupil diameter	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	HP_0000622	ENSG00000087085	28216264	Lynch et al. (2017)	blurred vision	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	HP_0000103	ENSG00000087085	28216264	Lynch et al. (2017)	increased urine excretion	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	GO_2000294	ENSG00000087085	28216264	Lynch et al. (2017)	increased defecation	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	HP_0002014	ENSG00000087085	28216264	Lynch et al. (2017)	diarrhea	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	HP_0002017	ENSG00000087085	28216264	Lynch et al. (2017)	vomiting	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	HP_0030972	ENSG00000087085	28216264	Lynch et al. (2017)	increased then decreased blood pressure	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	HP_0031860	ENSG00000087085	28216264	Lynch et al. (2017)	increased then decreased heart rate	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	EFO_0009853	ENSG00000087085	28216264	Lynch et al. (2017)	convulsions	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	HP_0001259	ENSG00000087085	28216264	Lynch et al. (2017)	coma	ACHE	UBERON_0001004	""
respiratory	inhibition_acute	EFO_0000480	ENSG00000087085	28216264	Lynch et al. (2017)	death	ACHE	UBERON_0001004	""
endocrine	activation_general	""	ENSG00000121853	""	Urban et al. (2012)	energy homeostasis	GHSR	UBERON_0000949	https://doi.org/10.1002/9781118098141.ch2
endocrine	inhibition_general	EFO_0000319	ENSG00000121853	""	Urban et al. (2012)	cardiovascular effects (might cause reduced rates of left ventricular contraction and relaxation, hypertension, tachycardia)	GHSR	UBERON_0000949	https://doi.org/10.1002/9781118098141.ch2
endocrine	inhibition_general	HP_0002579	ENSG00000121853	""	Urban et al. (2012)	might reduce gastric motility	GHSR	UBERON_0000949	https://doi.org/10.1002/9781118098141.ch2
endocrine	activation_general	GO_0030252	ENSG00000121853	""	Urban et al. (2012)	growth hormone release	GHSR	UBERON_0000949	https://doi.org/10.1002/9781118098141.ch2
endocrine	activation_general	HP_0003154	ENSG00000121853	""	Urban et al. (2012)	adrenocorticotropic hormone release	GHSR	UBERON_0000949	https://doi.org/10.1002/9781118098141.ch2
endocrine	activation_general	GO_0043400	ENSG00000121853	""	Urban et al. (2012)	cortisol release	GHSR	UBERON_0000949	https://doi.org/10.1002/9781118098141.ch2
endocrine	activation_general	HP_0100738	ENSG00000121853	""	Urban et al. (2012)	appetite stimulation	GHSR	UBERON_0000949	https://doi.org/10.1002/9781118098141.ch2
endocrine	activation_general	HP_0003074	ENSG00000121853	""	Urban et al. (2012)	hyperglycemia	GHSR	UBERON_0000949	https://doi.org/10.1002/9781118098141.ch2
endocrine	activation_general	HP_0040216	ENSG00000121853	""	Urban et al. (2012)	reduced insulin secretion	GHSR	UBERON_0000949	https://doi.org/10.1002/9781118098141.ch2
endocrine	activation_general	EFO_0005251	ENSG00000121853	""	Urban et al. (2012)	hypotension	GHSR	UBERON_0000949	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	""	ENSG00000121853	""	Urban et al. (2012)	energy homeostasis	GHSR	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	inhibition_general	EFO_0000319	ENSG00000121853	""	Urban et al. (2012)	cardiovascular effects (might cause reduced rates of left ventricular contraction and relaxation, hypertension, tachycardia)	GHSR	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	inhibition_general	HP_0002579	ENSG00000121853	""	Urban et al. (2012)	might reduce gastric motility	GHSR	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	GO_0030252	ENSG00000121853	""	Urban et al. (2012)	growth hormone release	GHSR	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	HP_0003154	ENSG00000121853	""	Urban et al. (2012)	adrenocorticotropic hormone release	GHSR	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	GO_0043400	ENSG00000121853	""	Urban et al. (2012)	cortisol release	GHSR	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	HP_0100738	ENSG00000121853	""	Urban et al. (2012)	appetite stimulation	GHSR	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	HP_0003074	ENSG00000121853	""	Urban et al. (2012)	hyperglycemia	GHSR	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	HP_0040216	ENSG00000121853	""	Urban et al. (2012)	reduced insulin secretion	GHSR	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	activation_general	EFO_0005251	ENSG00000121853	""	Urban et al. (2012)	hypotension	GHSR	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	inhibition_chronic	""	ENSG00000172572	""	Urban et al. (2012)	increased mortality in heart failure patients	PDE3A	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	inhibition_general	HP_0004308	ENSG00000172572	""	Urban et al. (2012)	could induce ventricular arrhythmias in ~10% of patients	PDE3A	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	inhibition_general	HP_0001649	ENSG00000172572	""	Urban et al. (2012)	tachycardia	PDE3A	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	inhibition_general	EFO_0005251	ENSG00000172572	""	Urban et al. (2012)	hypotension	PDE3A	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
cardiovascular system	inhibition_chronic	HP_0001873	ENSG00000172572	""	Urban et al. (2012)	thrombocytopenia	PDE3A	UBERON_0004535	https://doi.org/10.1002/9781118098141.ch2
nervous system	activation_general	EFO_1001484	ENSG00000082556	""	HeCaToS	analgesia	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	activation_general	EFO_0009868	ENSG00000082556	""	HeCaToS	sedation	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	activation_general	EFO_0005251	ENSG00000082556	""	HeCaToS	hypotension	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	activation_general	HP_0001649	ENSG00000082556	""	HeCaToS	tachycardia	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	activation_general	HP_0000103	ENSG00000082556	""	HeCaToS	diuresis	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	activation_general	EFO_0009867	ENSG00000082556	""	HeCaToS	dysphoria	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	activation_general	EFO_0009847	ENSG00000082556	""	HeCaToS	dizziness	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	activation_general	HP_0003401	ENSG00000082556	""	HeCaToS	paresthesia	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	activation_general	""	ENSG00000082556	""	HeCaToS	antipruritic effects	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	activation_general	""	ENSG00000082556	""	HeCaToS	interaction with dopaminergic transmission and hallucination	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
nervous system	activation_general	""	ENSG00000082556	""	HeCaToS	psychotomimetic effects. In case of mixed (partial) agonist/antagonist analgesic drugs, psychotomimesis is undesirable and serves to limit abuse potential	OPRK1	UBERON_0001016	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	EFO_1001484	ENSG00000082556	""	HeCaToS	analgesia	OPRK1	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	EFO_0009868	ENSG00000082556	""	HeCaToS	sedation	OPRK1	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	EFO_0005251	ENSG00000082556	""	HeCaToS	hypotension	OPRK1	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
