BIOENTITY	SEMANTIC_TAG	STUDY	ANNOTATOR	ANNOTATION_DATE
Union#C349#C34.9 Bronchus or lung| unspecified	EFO_0001071	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C38#C38 Malignant neoplasm of heart| mediastinum and pleura	MONDO_0021386|EFO_1001339|MONDO_0021065	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C384#C38.4 Pleura	MONDO_0021386|EFO_1001339|MONDO_0021065	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C40#C40 Malignant neoplasm of bone and articular cartilage of limbs	EFO_1000350	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C41#C41 Malignant neoplasm of bone and articular cartilage of other and unspecified sites	EFO_1000350	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C411#C41.1 Mandible	EFO_1000350	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C43#C43 Malignant melanoma of skin	EFO_0000389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C432#C43.2 Malignant melanoma of ear and external auricular canal	EFO_0000389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C433#C43.3 Malignant melanoma of other and unspecified parts of face	EFO_0005950	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C434#C43.4 Malignant melanoma of scalp and neck	EFO_0000389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C435#C43.5 Malignant melanoma of trunk	MONDO_0021350	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C436#C43.6 Malignant melanoma of upper limb| including shoulder	EFO_0000389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C437#C43.7 Malignant melanoma of lower limb| including hip	EFO_0000389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C439#C43.9 Malignant melanoma of skin| unspecified	EFO_0000389	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C44#C44 Other malignant neoplasms of skin	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C440#C44.0 Skin of lip	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C441#C44.1 Skin of eyelid| including canthus	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C442#C44.2 Skin of ear and external auricular canal	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C443#C44.3 Skin of other and unspecified parts of face	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C444#C44.4 Skin of scalp and neck	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C445#C44.5 Skin of trunk	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C446#C44.6 Skin of upper limb| including shoulder	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C447#C44.7 Skin of lower limb| including hip	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C448#C44.8 Overlapping lesion of skin	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C449#C44.9 Malignant neoplasm of skin| unspecified	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C45#C45 Mesothelioma	EFO_0000588	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C450#C45.0 Mesothelioma of pleura	EFO_1000485	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C457#C45.7 Mesothelioma of other sites	EFO_0000588	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C459#C45.9 Mesothelioma| unspecified	EFO_0000588	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C48#C48 Malignant neoplasm of retroperitoneum and peritoneum	EFO_0007466	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C480#C48.0 Retroperitoneum	EFO_0007466	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C481#C48.1 Specified parts of peritoneum	EFO_0007466	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C482#C48.2 Peritoneum| unspecified	EFO_0007466	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C49#C49 Malignant neoplasm of other connective and soft tissue	EFO_1000541	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C490#C49.0 Connective and soft tissue of head| face and neck	EFO_1000541	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C491#C49.1 Connective and soft tissue of upper limb| including shoulder	EFO_1000541	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C492#C49.2 Connective and soft tissue of lower limb| including hip	EFO_1000541	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C493#C49.3 Connective and soft tissue of thorax	EFO_1000541	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C495#C49.5 Connective and soft tissue of pelvis	EFO_1000541	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C499#C49.9 Connective and soft tissue| unspecified	EFO_1000541	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C50#C50 Malignant neoplasm of breast	EFO_0003869	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C500#C50.0 Nipple and areola	EFO_0003869	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C501#C50.1 Central portion of breast	EFO_0003869	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C502#C50.2 Upper-inner quadrant of breast	EFO_0003869	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C503#C50.3 Lower-inner quadrant of breast	EFO_0003869	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C504#C50.4 Upper-outer quadrant of breast	EFO_0003869	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C505#C50.5 Lower-outer quadrant of breast	EFO_0003869	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C506#C50.6 Axillary tail of breast	EFO_0003869	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C508#C50.8 Overlapping lesion of breast	EFO_0003869	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C509#C50.9 Breast| unspecified	EFO_0003869	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C51#C51 Malignant neoplasm of vulva	MONDO_0021049	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C519#C51.9 Vulva| unspecified	MONDO_0001528	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C53#C53 Malignant neoplasm of cervix uteri	EFO_0001061	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C530#C53.0 Endocervix	EFO_0001061	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C539#C53.9 Cervix uteri| unspecified	EFO_0001061	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C54#C54 Malignant neoplasm of corpus uteri	EFO_0007532	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C541#C54.1 Endometrium	EFO_0001061	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C549#C54.9 Corpus uteri| unspecified	EFO_0001061	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C55#C55 Malignant neoplasm of uterus| part unspecified	MONDO_0002715	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C56#C56 Malignant neoplasm of ovary	EFO_0003893	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C57#C57 Malignant neoplasm of other and unspecified female genital organs	EFO_1001331	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C570#C57.0 Fallopian tube	EFO_1001331	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C60#C60 Malignant neoplasm of penis	EFO_1001094	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C609#C60.9 Penis| unspecified	EFO_1001094	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C61#C61 Malignant neoplasm of prostate	EFO_0001663	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C62#C62 Malignant neoplasm of testis	EFO_0005088	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C621#C62.1 Descended testis	EFO_1001094	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C629#C62.9 Testis| unspecified	EFO_1001094	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C64#C64 Malignant neoplasm of kidney| except renal pelvis	EFO_0003865	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C65#C65 Malignant neoplasm of renal pelvis	EFO_0005582	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C66#C66 Malignant neoplasm of ureter	EFO_0003844	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C67#C67 Malignant neoplasm of bladder	MONDO_0004986	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C670#C67.0 Trigone of bladder	MONDO_0004986	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C671#C67.1 Dome of bladder	MONDO_0004986	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C672#C67.2 Lateral wall of bladder	MONDO_0004986	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C673#C67.3 Anterior wall of bladder	MONDO_0004986	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C674#C67.4 Posterior wall of bladder	MONDO_0004986	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C675#C67.5 Bladder neck	MONDO_0004986	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C676#C67.6 Ureteric orifice	MONDO_0004986	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C678#C67.8 Overlapping lesion of bladder	MONDO_0004986	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C679#C67.9 Bladder| unspecified	MONDO_0004986	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C68#C68 Malignant neoplasm of other and unspecified urinary organs	EFO_1000363	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C680#C68.0 Urethra	EFO_1000363	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C69#C69 Malignant neoplasm of eye and adnexa	EFO_0003824	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C693#C69.3 Choroid	EFO_0003824	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C699#C69.9 Eye| unspecified	EFO_0003824	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C71#C71 Malignant neoplasm of brain	EFO_0003833	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C710#C71.0 Cerebrum| except lobes and ventricles	EFO_0003833	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C711#C71.1 Frontal lobe	EFO_0003833	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C712#C71.2 Temporal lobe	EFO_0003833	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C713#C71.3 Parietal lobe	EFO_0003833	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C718#C71.8 Overlapping lesion of brain	EFO_0003833	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C719#C71.9 Brain| unspecified	EFO_0003833	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C72#C72 Malignant neoplasm of spinal cord| cranial nerves and other parts of central nervous system	EFO_1000158	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C73#C73 Malignant neoplasm of thyroid gland	EFO_0002892	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C74#C74 Malignant neoplasm of adrenal gland	EFO_0003850	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C749#C74.9 Adrenal gland| unspecified	MONDO_0002817	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C75#C75 Malignant neoplasm of other endocrine glands and related structures	MONDO_0021069	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C76#C76 Malignant neoplasm of other and ill-defined sites	EFO_0000616	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C760#C76.0 Head| face and neck	EFO_0000616	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C763#C76.3 Pelvis	EFO_0000616	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C77#C77 Secondary and unspecified malignant neoplasm of lymph nodes	EFO_0004906	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C770#C77.0 Lymph nodes of head| face and neck	EFO_0004906	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C771#C77.1 Intrathoracic lymph nodes	EFO_0004906	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C772#C77.2 Intra-abdominal lymph nodes	EFO_0004906	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C773#C77.3 Axillary and upper limb lymph nodes	EFO_0004906	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C774#C77.4 Inguinal and lower limb lymph nodes	EFO_0004906	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C775#C77.5 Intrapelvic lymph nodes	EFO_0004906	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C778#C77.8 Lymph nodes of multiple regions	EFO_0004906	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C779#C77.9 Lymph node| unspecified	EFO_0004906	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C78#C78 Secondary malignant neoplasm of respiratory and digestive organs	EFO_0009812	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C780#C78.0 Secondary malignant neoplasm of lung	EFO_0009812|MONDO_0008903	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C781#C78.1 Secondary malignant neoplasm of mediastinum	EFO_0007362	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C782#C78.2 Secondary malignant neoplasm of pleura	EFO_1000362	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C784#C78.4 Secondary malignant neoplasm of small intestine	MONDO_0004251	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C785#C78.5 Secondary malignant neoplasm of large intestine and rectum	EFO_0009812|EFO_0007330	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C786#C78.6 Secondary malignant neoplasm of retroperitoneum and peritoneum	EFO_0009812|EFO_0007466	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C787#C78.7 Secondary malignant neoplasm of liver	EFO_0009812|MONDO_0002691	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C788#C78.8 Secondary malignant neoplasm of other and unspecified digestive organs	EFO_0008549	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C79#C79 Secondary malignant neoplasm of other sites	EFO_0009812	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C790#C79.0 Secondary malignant neoplasm of kidney and renal pelvis	EFO_0009812|EFO_0005582	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C791#C79.1 Secondary malignant neoplasm of bladder and other and unspecified urinary organs	EFO_1000363	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C792#C79.2 Secondary malignant neoplasm of skin	EFO_0009812|MONDO_0002898	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C793#C79.3 Secondary malignant neoplasm of brain and cerebral meninges	EFO_0009812|EFO_0007201	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C794#C79.4 Secondary malignant neoplasm of other and unspecified parts of nervous system	MONDO_0021248	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C795#C79.5 Secondary malignant neoplasm of bone and bone marrow	MONDO_0005374	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C796#C79.6 Secondary malignant neoplasm of ovary	EFO_0009812|MONDO_0008170	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C797#C79.7 Secondary malignant neoplasm of adrenal gland	EFO_0009812|EFO_0003850	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C798#C79.8 Secondary malignant neoplasm of other specified sites	EFO_0000616	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C799#C79.9 Secondary malignant neoplasm| unspecified site	EFO_0009812	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C80#C80 Malignant neoplasm without specification of site	EFO_0000311	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C800#C80.0 Malignant neoplasm| primary site unknown| so stated	EFO_0000616	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C809#C80.9 Malignant neoplasm| unspecified	EFO_0000616	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C81#C81 Hodgkin's disease	EFO_0000183	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C811#C81.1 Nodular sclerosis	EFO_0000183	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C812#C81.2 Mixed cellularity	EFO_0000183	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C819#C81.9 Hodgkin's disease| unspecified	EFO_0000183	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C82#C82 Follicular [nodular] non-Hodgkin's lymphoma	EFO_1000211	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C820#C82.0 Small cleaved cell| follicular	EFO_1000211	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C821#C82.1 Mixed small cleaved and large cell| follicular	EFO_1000211	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C822#C82.2 Large cell| follicular	EFO_1000211	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C823#C82.3 Follicular lymphoma grade IIIa	EFO_1000211	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C827#C82.7 Other types of follicular non-Hodgkin's lymphoma	EFO_1000211	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C829#C82.9 Follicular non-Hodgkin's lymphoma| unspecified	EFO_0005952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C83#C83 Diffuse non-Hodgkin's lymphoma	EFO_0005952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C830#C83.0 Small cell (diffuse)	EFO_0005952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C831#C83.1 Small cleaved cell (diffuse)	EFO_0005952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C833#C83.3 Large cell (diffuse)	EFO_0005952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C838#C83.8 Other types of diffuse non-Hodgkin's lymphoma	EFO_0005952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C839#C83.9 Diffuse non-Hodgkin's lymphoma| unspecified	EFO_0005952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C84#C84 Peripheral and cutaneous T-cell lymphomas	EFO_0000574	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C840#C84.0 Mycosis fungoides	EFO_1001051	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C844#C84.4 Peripheral T-cell lymphoma	EFO_0000211	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C845#C84.5 Other and unspecified T-cell lymphomas	EFO_0000574	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C85#C85 Other and unspecified types of non-Hodgkin's lymphoma	EFO_0005952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C851#C85.1 B-cell lymphoma| unspecified	EFO_0000096	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C857#C85.7 Other specified types of non-Hodgkin's lymphoma	EFO_0005952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C859#C85.9 Non-Hodgkin's lymphoma| unspecified type	EFO_0005952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C88#C88 Malignant immunoproliferative diseases	MONDO_0021334	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C880#C88.0 Waldenstrom's macroglobulinaemia	EFO_0009441	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C884#C88.4 Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]	EFO_0000574	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C90#C90 Multiple myeloma and malignant plasma cell neoplasms	EFO_0001378	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C900#C90.0 Multiple myeloma	EFO_0001378	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C902#C90.2 Plasmacytoma| extramedullary	EFO_0006738	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C903#C90.3 Solitary plasmacytoma	EFO_0006738	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C91#C91 Lymphoid leukaemia	EFO_0004289	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C910#C91.0 Acute lymphoblastic leukaemia	EFO_0000220	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C911#C91.1 Chronic lymphocytic leukaemia	EFO_0000095	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C914#C91.4 Hairy-cell leukaemia	EFO_1000956	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C919#C91.9 Lymphoid leukaemia| unspecified	EFO_0004289	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C92#C92 Myeloid leukaemia	MONDO_0004643	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C920#C92.0 Acute myeloid leukaemia	EFO_0000222	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C921#C92.1 Chronic myeloid leukaemia	EFO_0000339	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C93#C93 Monocytic leukaemia	MONDO_0004600	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C931#C93.1 Chronic monocytic leukaemia	MONDO_0004600	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C94#C94 Other leukaemias of specified cell type	EFO_0000565	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C95#C95 Leukaemia of unspecified cell type	EFO_0000565	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C959#C95.9 Leukaemia| unspecified	EFO_0000565	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#C97#C97 Malignant neoplasms of independent (primary) multiple sites	EFO_0000616	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#ChapterII#Chapter II Neoplasms	EFO_0000616	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D00#D00 Carcinoma in situ of oral cavity| oesophagus and stomach	MONDO_0004647|EFO_1000218	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D000#D00.0 Lip| oral cavity and pharynx	MONDO_0004647|EFO_1000218	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D01#D01 Carcinoma in situ of other and unspecified digestive organs	MONDO_0002516	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D010#D01.0 Colon	MONDO_0002516	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D012#D01.2 Rectum	MONDO_0002516	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D02#D02 Carcinoma in situ of middle ear and respiratory system	MONDO_0004647|EFO_0003853	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D020#D02.0 Larynx	MONDO_0004647|EFO_0003853	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D03#D03 Melanoma in situ	MONDO_0004647	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D033#D03.3 Melanoma in situ of other and unspecified parts of face	EFO_0005950	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D034#D03.4 Melanoma in situ of scalp and neck	MONDO_0004647	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D035#D03.5 Melanoma in situ of trunk	MONDO_0003274	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D036#D03.6 Melanoma in situ of upper limb| including shoulder	MONDO_0004647	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D037#D03.7 Melanoma in situ of lower limb| including hip	MONDO_0000952	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D04#D04 Carcinoma in situ of skin	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D042#D04.2 Skin of ear and external auricular canal	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D043#D04.3 Skin of other and unspecified parts of face	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D044#D04.4 Skin of scalp and neck	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D045#D04.5 Skin of trunk	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D046#D04.6 Skin of upper limb| including shoulder	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D047#D04.7 Skin of lower limb| including hip	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D049#D04.9 Skin| unspecified	EFO_0004198	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D05#D05 Carcinoma in situ of breast	EFO_0000305	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D050#D05.0 Lobular carcinoma in situ	EFO_0000305	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D051#D05.1 Intraductal carcinoma in situ	EFO_0000305	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D057#D05.7 Other carcinoma in situ of breast	EFO_1000326	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D059#D05.9 Carcinoma in situ of breast| unspecified	EFO_0000305	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D06#D06 Carcinoma in situ of cervix uteri	EFO_0001061	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D060#D06.0 Endocervix	EFO_0001061	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D061#D06.1 Exocervix	EFO_0001061	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
Union#D067#D06.7 Other parts of cervix	EFO_0001061	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
