Phewas_string	EFO_id	EFO_label
Cervicitis and endocervicitis	http://purl.obolibrary.org/obo/MONDO_0003632	endocervicitis
Cervicocranial/Cervicobrachial syndrome	http://www.ebi.ac.uk/efo/EFO_0007165	Barre-Lieou syndrome
Cervicocranial/Cervicobrachial syndrome	http://www.ebi.ac.uk/efo/EFO_0000618	nervous system disease  
Cholangitis	http://purl.obolibrary.org/obo/HP_0030151	Cholangitis
Cholecystitis without cholelithiasis	http://www.ebi.ac.uk/efo/EFO_1000790	acalculous cholecystitis
Cholelithiasis	http://www.ebi.ac.uk/efo/EFO_0004799	cholelithiasis
Cholelithiasis and cholecystitis	http://purl.obolibrary.org/obo/HP_0001082	cholecystitis
Cholelithiasis and cholecystitis	http://www.ebi.ac.uk/efo/EFO_0004799	Cholelithiasis
Cholelithiasis with acute cholecystitis	http://www.ebi.ac.uk/efo/EFO_1001289	cholecystitis, Acute
Cholelithiasis with acute cholecystitis	http://www.ebi.ac.uk/efo/EFO_0004799	Cholelithiasis
Cholelithiasis with other cholecystitis	http://purl.obolibrary.org/obo/HP_0001082	cholecystitis
Cholelithiasis with other cholecystitis	http://www.ebi.ac.uk/efo/EFO_0004799	Cholelithiasis
Cholesteatoma	http://www.ebi.ac.uk/efo/EFO_1000675	cholesteatoma
Chondrocalcinosis	http://purl.obolibrary.org/obo/HP_0000934	Chondrocalcinosis
Chorioretinal inflammations, scars, and other disorders of choroid	http://purl.obolibrary.org/obo/MONDO_0004674	chorioretinitis (disease)
Chorioretinal inflammations, scars, and other disorders of choroid	http://purl.obolibrary.org/obo/HP_0007777	Chorioretinal scar
Chorioretinal inflammations, scars, and other disorders of choroid	http://purl.obolibrary.org/obo/MONDO_0002661	Uveal disease
Chorioretinal scars	http://purl.obolibrary.org/obo/HP_0007777	Chorioretinal scar
Choroidal degenerations	http://purl.obolibrary.org/obo/HP_0200065	Chorioretinal degeneration
Chronic airway obstruction	http://www.ebi.ac.uk/efo/EFO_0000341	chronic obstructive pulmonary disease
Chronic bronchitis	http://www.ebi.ac.uk/efo/EFO_0006505	chronic bronchitis
Chronic cystitis	http://www.ebi.ac.uk/efo/EFO_1000023	chronic cystitis
Chronic glomerulonephritis, NOS	http://purl.obolibrary.org/obo/MONDO_0002462	glomerulonephritis (disease)
Chronic hepatitis	http://www.ebi.ac.uk/efo/EFO_0008496	chronic hepatitis
Chronic interstitial cystitis	http://www.ebi.ac.uk/efo/EFO_1000869	chronic interstitial cystitis
Chronic kidney disease, Stage I or II	http://www.ebi.ac.uk/efo/EFO_0003884	chronic kidney disease
Chronic laryngitis	http://purl.obolibrary.org/obo/MONDO_0002647	Laryngitis
Chronic liver disease and cirrhosis	http://www.ebi.ac.uk/efo/EFO_0001421	liver disease
Chronic liver disease and cirrhosis	http://www.ebi.ac.uk/efo/EFO_0001422	cirrhosis of liver
Chronic lymphocytic thyroiditis	http://www.ebi.ac.uk/efo/EFO_0003779	Hashimoto's thyroiditis
Chronic obstructive asthma	http://www.ebi.ac.uk/efo/EFO_0009759	Chronic Obstructive Asthma
Chronic obstructive asthma with exacerbation	http://www.ebi.ac.uk/efo/EFO_0009759	Chronic Obstructive Asthma
Chronic osteomyelitis	http://www.ebi.ac.uk/efo/EFO_0003102	osteomyelitis
Chronic pain syndrome	http://purl.obolibrary.org/obo/MONDO_0024317	chronic pain syndrome
Chronic pancreatitis	http://www.ebi.ac.uk/efo/EFO_0000342	chronic pancreatitis
Chronic periodontitis	http://www.ebi.ac.uk/efo/EFO_0006343	chronic periodontitis
Chronic pharyngitis and nasopharyngitis	http://purl.obolibrary.org/obo/MONDO_0002258	pharyngitis
Chronic pharyngitis and nasopharyngitis	http://purl.obolibrary.org/obo/MONDO_0001040	nasopharyngitis
Chronic prostatitis	http://www.ebi.ac.uk/efo/EFO_0003830	prostatitis
Chronic renal failure [CKD]	http://www.ebi.ac.uk/efo/EFO_0003884	chronic kidney disease
Chronic rheumatic disease of the heart valves	http://www.ebi.ac.uk/efo/EFO_1001161	rheumatic heart disease
Chronic sinusitis	http://www.ebi.ac.uk/efo/EFO_0007486	Sinusitis
Chronic tonsillitis and adenoiditis	http://purl.obolibrary.org/obo/HP_0011110	tonsillitis
Chronic tonsillitis and adenoiditis	http://purl.obolibrary.org/obo/HP_0031458	Adenoiditis
Chronic ulcer of leg or foot	http://www.ebi.ac.uk/efo/EFO_0007066	chronic ulcer of skin
Chronic ulcer of skin	http://www.ebi.ac.uk/efo/EFO_0007066	chronic ulcer of skin
Chronic ulcer of unspecified site	http://www.ebi.ac.uk/efo/EFO_0007066	chronic ulcer of skin
Chronic venous hypertension	NEW TERM REQUEST	Chronic venous hypertension
Chronic venous insufficiency [CVI]	http://www.ebi.ac.uk/efo/EFO_0007940	chronic venous insufficiency
Circulatory disease NEC	http://www.ebi.ac.uk/efo/EFO_0000319	cardiovascular disease
Circumscribed scleroderma	http://www.ebi.ac.uk/efo/EFO_1001993	scleroderma
Cirrhosis of liver without mention of alcohol	http://www.ebi.ac.uk/efo/EFO_0001422	cirrhosis of liver
Claw toe (acquired)	http://purl.obolibrary.org/obo/HP_0001760	Abnormality of the foot
Coagulation defects	http://www.ebi.ac.uk/efo/EFO_0009314	blood coagulation disease
Colles' fracture	http://www.ebi.ac.uk/efo/EFO_0003957	radius fracture
Colon cancer	http://www.ebi.ac.uk/efo/EFO_0004288	colonic neoplasm
Colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer
Coma; stupor; and brain damage	http://purl.obolibrary.org/obo/HP_0001259	coma
Coma; stupor; and brain damage	http://purl.obolibrary.org/obo/HP_0004372	Reduced consciousness/confusion
Coma; stupor; and brain damage	http://purl.obolibrary.org/obo/MONDO_0043510	brain injury
Complex regional/central pain syndrome	http://www.ebi.ac.uk/efo/EFO_1001998	complex regional pain syndrome
Complication due to other implant and internal device	http://www.ebi.ac.uk/efo/EFO_0009519	device complication 
Complication of amputation stump	http://www.ebi.ac.uk/efo/EFO_0009518	complication
Complication of colostomy or enterostomy	http://www.ebi.ac.uk/efo/EFO_0009518	complication
Complication of internal orthopedic device	http://www.ebi.ac.uk/efo/EFO_0009519	device complication 
Complication of nervous system device, implant, and graft	http://www.ebi.ac.uk/efo/EFO_0009519	device complication 
Complications of cardiac/vascular device, implant, and graft	http://www.ebi.ac.uk/efo/EFO_0009519	device complication 
Complications of gastrostomy, colostomy and enterostomy	http://www.ebi.ac.uk/efo/EFO_0009518	complication
Complications of transplants and reattached limbs	 http://www.ebi.ac.uk/efo/EFO_0009518	complication
Concussion	http://purl.obolibrary.org/obo/MONDO_0043510	brain injury
Conduct disorders	http://www.ebi.ac.uk/efo/EFO_0004216	conduct disorder
Conductive hearing loss	http://purl.obolibrary.org/obo/HP_0000405	Conductive hearing impairment
Congenital anomalies of face and neck	http://purl.obolibrary.org/obo/MONDO_0000839	congenital anomaly
Congenital anomalies of genital organs	http://purl.obolibrary.org/obo/MONDO_0000839	congenital anomaly
Congenital anomalies of great vessels	http://www.ebi.ac.uk/efo/EFO_0006888	vascular malformation
Congenital anomalies of intestine	http://www.orpha.net/ORDO/Orphanet_165655	Genetic intestinal disease
Congenital anomalies of limbs	http://www.orpha.net/ORDO/Orphanet_294944	Congenital deformities of limbs
Congenital anomalies of peripheral vascular system	http://www.ebi.ac.uk/efo/EFO_0006888	vascular malformation
Congenital anomalies of posterior segment of eye	http://www.orpha.net/ORDO/Orphanet_183557	Genetic developmental defect of the eye
Congenital anomalies of skin	http://purl.obolibrary.org/obo/MONDO_0024255	genetic skin disease
Congenital anomalies of the eye	http://www.orpha.net/ORDO/Orphanet_183557	Genetic developmental defect of the eye
Congenital anomalies of urinary system	http://www.orpha.net/ORDO/Orphanet_183539	Genetic renal or urinary tract malformation
Congenital cataract and lens anomalies	http://www.orpha.net/ORDO/Orphanet_98641	Syndromic cataract
Congenital cataract and lens anomalies	http://www.ebi.ac.uk/efo/EFO_0009674	lens disease
Congenital coagulation defects	http://www.orpha.net/ORDO/Orphanet_183654	Rare genetic coagulation disorder
Congenital deficiency of other clotting factors (including factor VII)	http://www.orpha.net/ORDO/Orphanet_183654	Rare genetic coagulation disorder
Congenital deformities of feet	http://www.orpha.net/ORDO/Orphanet_294944	Congenital deformities of limbs
Congenital musculoskeletal deformities of spine	http://purl.obolibrary.org/obo/MONDO_0000839	congenital abnormality
Congenital pigmentary anomalies of skin	http://www.orpha.net/ORDO/Orphanet_183463	Genetic pigmentation anomaly of the skin
Congestive heart failure (CHF) NOS	http://www.ebi.ac.uk/efo/EFO_0000373	congestive heart failure
Congestive heart failure; nonhypertensive	http://www.ebi.ac.uk/efo/EFO_0000373	congestive heart failure
Conjunctivitis, infectious	http://purl.obolibrary.org/obo/HP_0000509	Conjunctivitis
Conjunctivitis, noninfectious	http://purl.obolibrary.org/obo/HP_0000509	Conjunctivitis
Constipation	http://purl.obolibrary.org/obo/HP_0002019	constipation
Contact and allergic dermatitis of eyelid	http://www.ebi.ac.uk/efo/EFO_0005319	contact dermatitis
Contact and allergic dermatitis of eyelid	http://purl.obolibrary.org/obo/HP_0000964	eczema
Contact dermatitis and other eczema due to plants [except food]	http://www.ebi.ac.uk/efo/EFO_0000274	atopic eczema
Contracture of joint	http://www.ebi.ac.uk/efo/EFO_0003899	contracture
Contracture of palmar fascia	http://www.ebi.ac.uk/efo/EFO_0003899	contracture
Convulsions	http://www.ebi.ac.uk/efo/EFO_0009853	convulsion
Cornea replaced by transplant	NEW TERM REQUEST	cornea transplantation
Corneal degenerations	http://www.orpha.net/ORDO/Orphanet_34533	corneal dystrophy
Corneal dystrophy	http://www.orpha.net/ORDO/Orphanet_34533	Corneal dystrophy
Corneal edema	http://www.ebi.ac.uk/efo/EFO_1000879	corneal edema
Corneal opacity	http://purl.obolibrary.org/obo/HP_0007957	Corneal opacity
Corneal opacity and other disorders of cornea	http://purl.obolibrary.org/obo/HP_0007957	Corneal opacity
Corneal opacity and other disorders of cornea	http://www.ebi.ac.uk/efo/EFO_0009464	corneal disease
Corns and callosities	http://purl.obolibrary.org/obo/GO_1990110	callus formation
Coronary atherosclerosis	http://purl.obolibrary.org/obo/MONDO_0021661	coronary atherosclerosis 
Costochondritis	http://www.ebi.ac.uk/efo/EFO_0005802	cartilage disease
Cramp of limb	http://www.ebi.ac.uk/efo/EFO_0009846	muscle cramp
Crystal arthropathies	http://www.ebi.ac.uk/efo/EFO_1000999	joint disease
Curvature of spine	http://purl.obolibrary.org/obo/HP_0000925	Abnormality of the vertebral column
Cyst and pseudocyst of pancreas	http://purl.obolibrary.org/obo/HP_0001737	pancreatic cysts
Cyst and pseudocyst of pancreas	http://purl.obolibrary.org/obo/HP_0005206	Pancreatic pseudocyst
Cyst of kidney, acquired	http://www.ebi.ac.uk/efo/EFO_0008619	Simple Cyst of Kidney
Cyst or abscess of Bartholin's gland	http://www.ebi.ac.uk/efo/EFO_0009469	Bartholin gland disease
Cystic kidney disease	http://www.ebi.ac.uk/efo/EFO_0008615	Cystic Kidney Disease
Cystic mastopathy	http://www.ebi.ac.uk/efo/EFO_0003014	breast fibrocystic disease
Cystitis	http://www.ebi.ac.uk/efo/EFO_1000025	cystitis
Cystitis and urethritis	http://www.ebi.ac.uk/efo/EFO_1000025	cystitis
Cystitis and urethritis	http://www.ebi.ac.uk/efo/EFO_0003878	urethritis
Cystoid macular degeneration of retina	http://www.ebi.ac.uk/efo/EFO_0009606	macular degeneration
Cysts of the jaws	http://purl.obolibrary.org/obo/HP_0030791	Abnormal jaw morphology
Decreased libido	http://www.ebi.ac.uk/efo/EFO_0004714	sexual dysfunction
Decreased white blood cell count	http://www.ebi.ac.uk/efo/EFO_0004233	Leukopenia
Decubitus ulcer	http://www.ebi.ac.uk/efo/EFO_0007067	decubitus ulcer
Deep vein thrombosis [DVT]	http://www.ebi.ac.uk/efo/EFO_0003907	deep vein thrombosis
Deficiency anemias NOS	http://purl.obolibrary.org/obo/MONDO_0001639	deficiency anemia
Deficiency of humoral immunity	http://purl.obolibrary.org/obo/MONDO_0021094	immunodeficiency disease
Degeneration of intervertebral disc	 http://purl.obolibrary.org/obo/HP_0008419	Intervertebral disc degeneration
Degeneration of macula and posterior pole of retina	http://purl.obolibrary.org/obo/MONDO_0004580	retinal degeneration
Degeneration of macula and posterior pole of retina	http://www.ebi.ac.uk/efo/EFO_0009606	macular degeneration
Degenerative disease of the spinal cord	http://www.ebi.ac.uk/efo/EFO_0009488	spinal cord disease
Degenerative skin conditions and other dermatoses	http://www.ebi.ac.uk/efo/EFO_1000766	dermal athrophy
Degenerative skin conditions and other dermatoses	http://www.ebi.ac.uk/efo/EFO_0000701	skin disease
Delirium dementia and amnestic and other cognitive disorders	http://www.ebi.ac.uk/efo/EFO_0009267	delirium
Delirium dementia and amnestic and other cognitive disorders	http://purl.obolibrary.org/obo/HP_0000726	dementia
Delirium dementia and amnestic and other cognitive disorders	http://purl.obolibrary.org/obo/MONDO_0001152	amnestic disorder
Delirium dementia and amnestic and other cognitive disorders	http://www.ebi.ac.uk/efo/EFO_1001457	cognitive disorder
Delirium due to conditions classified elsewhere	http://www.ebi.ac.uk/efo/EFO_0009267	delirium
Dementia with cerebral degenerations	http://purl.obolibrary.org/obo/HP_0000726	dementia
Dementia with cerebral degenerations	http://purl.obolibrary.org/obo/HP_0007313	cerebral degeneration
Dementias	http://purl.obolibrary.org/obo/HP_0000726	dementia
Dental caries	http://www.ebi.ac.uk/efo/EFO_0003819	dental caries
Dentofacial anomalies, including malocclusion	http://purl.obolibrary.org/obo/HP_0011821	Abnormality of facial skeleton
Dentofacial anomalies, including malocclusion	http://purl.obolibrary.org/obo/HP_0000689	Dental malocclusion
Depression	http://purl.obolibrary.org/obo/MONDO_0002050	Depressive disorder
Derangement of joint, non-traumatic	http://www.ebi.ac.uk/efo/EFO_1000999	joint disease
Dermatitis due to solar radiation	http://purl.obolibrary.org/obo/MONDO_0002406	dermatitis
Dermatomycoses	http://purl.obolibrary.org/obo/MONDO_0002040	dermatomycosis
Dermatomyositis and Polymyositis	http://www.ebi.ac.uk/efo/EFO_0000398	dermatomyositis
Dermatomyositis and Polymyositis	http://www.ebi.ac.uk/efo/EFO_0003063	polymyositis
Dermatophytosis	http://purl.obolibrary.org/obo/MONDO_0004678	dermatophytosis
Dermatophytosis / Dermatomycosis	http://purl.obolibrary.org/obo/MONDO_0004678	dermatophytosis
Dermatophytosis / Dermatomycosis	http://www.ebi.ac.uk/efo/EFO_0000398	dermatomyositis
Dermatophytosis of nail	http://purl.obolibrary.org/obo/MONDO_0004678	dermatophytosis
Dermatophytosis of the body	http://purl.obolibrary.org/obo/MONDO_0004678	dermatophytosis
Develomental delays and disorders	http://www.ebi.ac.uk/efo/EFO_0003852	developmental disability
Diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0000400	diabetes mellitus
Diabetes or abnormal glucose tolerance complicating pregnancy	http://www.ebi.ac.uk/efo/EFO_0004593	gestational diabetes
Diabetes or abnormal glucose tolerance complicating pregnancy	http://www.ebi.ac.uk/efo/EFO_0002546	abnormal glucose tolerance
Diabetes type 1 with ketoacidosis or uncontrolled diabetes	http://www.ebi.ac.uk/efo/EFO_0001359	type I diabetes mellitus
Diabetes type 1 with ketoacidosis or uncontrolled diabetes	http://www.ebi.ac.uk/efo/EFO_1000897	diabetic ketoacidosi
Diabetes type 1 with peripheral circulatory disorders	http://www.ebi.ac.uk/efo/EFO_0001359	type I diabetes mellitus
Diabetes type 1 with peripheral circulatory disorders	http://www.ebi.ac.uk/efo/EFO_0003875	peripheral vascular disease
Diabetes type 2 with ketoacidosis or uncontrolled diabetes	http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus
Diabetes type 2 with ketoacidosis or uncontrolled diabetes	http://www.ebi.ac.uk/efo/EFO_1000897	diabetic ketoacidosis
Diabetes type 2 with peripheral circulatory disorders	http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus
Diabetes type 2 with peripheral circulatory disorders	http://www.ebi.ac.uk/efo/EFO_0003875	peripheral vascular disease
Diabetic retinopathy	http://www.ebi.ac.uk/efo/EFO_0003770	diabetic retinopathy
Diaphragmatic hernia	http://www.ebi.ac.uk/efo/EFO_0008561	diaphragmatic hernia
Diffuse diseases of connective tissue	http://www.ebi.ac.uk/efo/EFO_1001986	connective tissue disease
Digestive congenital anomalies	http://www.ebi.ac.uk/efo/EFO_0000405	digestive system disease
Diplopia and disorders of binocular vision	http://purl.obolibrary.org/obo/HP_0000651	Diplopia 
Diplopia and disorders of binocular vision	http://www.ebi.ac.uk/efo/EFO_0009535	binocular vision disease
Disease of capillaries	http://purl.obolibrary.org/obo/MONDO_0001574	capillary disease 
Disease of tricuspid valve	http://www.ebi.ac.uk/efo/EFO_0009568	tricuspid valve disease
Diseases and other conditions of the tongue	http://purl.obolibrary.org/obo/MONDO_0001165	tongue disease
Diseases of esophagus	http://www.ebi.ac.uk/efo/EFO_0009544	esophageal disease
Diseases of hair and hair follicles	http://purl.obolibrary.org/obo/MONDO_0019278	hair anomaly
Diseases of hard tissues of teeth	http://purl.obolibrary.org/obo/MONDO_0002220	tooth hard tissue disease
Diseases of lips	http://purl.obolibrary.org/obo/MONDO_0004748	lip disease
Diseases of nail	http://purl.obolibrary.org/obo/MONDO_0002884	nail disease
Diseases of pancreas	http://www.ebi.ac.uk/efo/EFO_0009605	pancreas disease
Diseases of pulp and periapical tissues	http://www.ebi.ac.uk/efo/EFO_0009540	dental pulp disease
Diseases of pulp and periapical tissues	NEW TERM REQUEST	periapical tissue disease
Diseases of sebaceous glands	http://www.ebi.ac.uk/efo/EFO_1000763	sebaceous gland disease
Diseases of spleen	http://www.ebi.ac.uk/efo/EFO_0009002	splenic disease
Diseases of the jaws	http://www.ebi.ac.uk/efo/EFO_0009468	jaw disease
Diseases of the larynx and vocal cords	http://www.ebi.ac.uk/efo/EFO_0009673	laryngeal disease
Diseases of the larynx and vocal cords	http://purl.obolibrary.org/obo/HP_0008777	Abnormal vocal cord morphology
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	http://purl.obolibrary.org/obo/MONDO_0044992	mouth mucosa disease
Diseases of the salivary glands	http://www.ebi.ac.uk/efo/EFO_0008581	salivary gland disease 
Diseases of white blood cells	http://purl.obolibrary.org/obo/MONDO_0004805	leukocyte disease
Dislocation	http://www.ebi.ac.uk/efo/EFO_0009521	dislocation
Disorder of skin and subcutaneous tissue NOS	http://www.ebi.ac.uk/efo/EFO_0000701	skin disease
Disorder of skin and subcutaneous tissue NOS	http://purl.obolibrary.org/obo/MONDO_0019296	subcutaneous tissue disease
Disorders involving the immune mechanism	http://www.ebi.ac.uk/efo/EFO_0000540	immune system disease
Disorders of adrenal glands	http://purl.obolibrary.org/obo/HP_0000834	Abnormality of the adrenal glands
Disorders of bilirubin excretion	http://www.orpha.net/ORDO/Orphanet_309816	Disorder of bilirubin metabolism and excretion
Disorders of calcium/phosphorus metabolism	http://www.ebi.ac.uk/efo/EFO_0005769	calcium metabolic disease
Disorders of calcium/phosphorus metabolism	http://purl.obolibrary.org/obo/MONDO_0002319	phosphorus metabolism disease
Disorders of carbohydrate transport and metabolism	http://www.orpha.net/ORDO/Orphanet_79161	Disorder of carbohydrate metabolism
Disorders of carbohydrate transport and metabolism	http://purl.obolibrary.org/obo/MONDO_0045015	carbohydrate transport disease
Disorders of coccyx	http://www.ebi.ac.uk/efo/EFO_0004260	bone disease
Disorders of conjunctiva	http://www.ebi.ac.uk/efo/EFO_1000203	Conjunctival Disorder
Disorders of diaphragm	http://www.ebi.ac.uk/efo/EFO_0007233	diaphragm disease
Disorders of esophageal motility	http://www.ebi.ac.uk/efo/EFO_0009544	esophageal disease
Disorders of external ear	http://www.ebi.ac.uk/efo/EFO_0009668	external ear disease
Disorders of fluid, electrolyte, and acid-base balance	http://purl.obolibrary.org/obo/HP_0001939	Abnormality of metabolism/homeostasis
Disorders of fluid, electrolyte, and acid-base balance	http://purl.obolibrary.org/obo/MONDO_0041261	disorder of acid-base balanc
Disorders of function of stomach	http://purl.obolibrary.org/obo/MONDO_0001318	functional gastric disease
Disorders of iron metabolism	http://purl.obolibrary.org/obo/MONDO_0002279	iron metabolism disease
Disorders of lacrimal system	http://www.ebi.ac.uk/efo/EFO_0009455	lacrimal apparatus disease
Disorders of lipoid metabolism	http://www.orpha.net/ORDO/Orphanet_79204	Lipid storage disease
Disorders of magnesium metabolism	http://www.ebi.ac.uk/efo/EFO_0009556	mineral metabolism disease
Disorders of menstruation and other abnormal bleeding from female genital tract	http://www.ebi.ac.uk/efo/EFO_0010270	Menstrual disorder 
Disorders of mineral metabolism	http://www.ebi.ac.uk/efo/EFO_0009556	mineral metabolism disease
Disorders of muscle, ligament, and fascia	http://www.ebi.ac.uk/efo/EFO_0002970	muscular disease
Disorders of muscle, ligament, and fascia	http://purl.obolibrary.org/obo/MONDO_0045044	ligament disease
Disorders of muscle, ligament, and fascia	http://www.ebi.ac.uk/efo/EFO_1001986	connective tissue disease
Disorders of optic nerve and visual pathways	http://purl.obolibrary.org/obo/MONDO_0002135	optic nerve disease
Disorders of optic nerve and visual pathways	http://purl.obolibrary.org/obo/MONDO_0021084	vision disorder
Disorders of other cranial nerves	http://purl.obolibrary.org/obo/MONDO_0003569	cranial nerve neuropathy
Disorders of parathyroid gland	http://www.ebi.ac.uk/efo/EFO_0005754	parathyroid disease
Disorders of penis	http://purl.obolibrary.org/obo/MONDO_0002036	penile disease
Disorders of phosphorus metabolism	http://purl.obolibrary.org/obo/MONDO_0002319	phosphorus metabolism disease
Disorders of plasma protein metabolism	http://purl.obolibrary.org/obo/MONDO_0002273	plasma protein metabolism disease
Disorders of protein plasma/amino-acid transport and metabolism	http://purl.obolibrary.org/obo/MONDO_0002273	plasma protein metabolism disease
Disorders of protein plasma/amino-acid transport and metabolism	http://www.orpha.net/ORDO/Orphanet_79166	Disorder of amino acid absorption and transport
Disorders of refraction and accommodation; blindness and low vision	http://purl.obolibrary.org/obo/HP_0000539	Abnormality of refraction
Disorders of refraction and accommodation; blindness and low vision	http://purl.obolibrary.org/obo/MONDO_0000926	eye accommodation disease
Disorders of refraction and accommodation; blindness and low vision	http://purl.obolibrary.org/obo/HP_0000618	blindness
Disorders of refraction and accommodation; blindness and low vision	http://purl.obolibrary.org/obo/MONDO_0021084	vision disorder
Disorders of sacrum	http://www.ebi.ac.uk/efo/EFO_0004260	bone disease
Disorders of sweat glands	http://www.ebi.ac.uk/efo/EFO_1000772	sweat gland disease
Disorders of the autonomic nervous system	http://www.ebi.ac.uk/efo/EFO_0000618	nervous system disease
Disorders of the globe	http://purl.obolibrary.org/obo/MONDO_0001524	globe disease
Disorders of the pituitary gland and its hypothalamic control	http://www.ebi.ac.uk/efo/EFO_0009607	pituitary gland disease
Disorders of the pituitary gland and its hypothalamic control	http://purl.obolibrary.org/obo/MONDO_0002150	hypothalamic disease
Disorders of tooth development	http://www.ebi.ac.uk/efo/EFO_1001216	tooth disease
Disorders of uterus, NEC	http://purl.obolibrary.org/obo/MONDO_0002654	uterine disease
Disorders of vitreous body	http://www.ebi.ac.uk/efo/EFO_0008624	vitreous body disease
Disorders resulting from impaired renal function	http://www.ebi.ac.uk/efo/EFO_0003086	kidney disease
Displacement of intervertebral disc	http://www.ebi.ac.uk/efo/EFO_1001800	Intervertebral Disc Displacement
Disturbance of salivary secretion	http://www.ebi.ac.uk/efo/EFO_0008581	salivary gland disease
Disturbance of skin sensation	http://www.ebi.ac.uk/efo/EFO_0009522	disturbance of skin sensation 
Disturbances in tooth eruption	http://www.ebi.ac.uk/efo/EFO_1001216	tooth disease 
Disturbances of amino-acid transport	http://www.orpha.net/ORDO/Orphanet_308451	Disorder of neutral amino acid transport
Disturbances of sensation of smell and taste	http://www.ebi.ac.uk/efo/EFO_0009543	disturbances of sensation of smell and taste 
Disturbances of sulphur-bearing amino-acid metabolism	http://purl.obolibrary.org/obo/MONDO_0056803	sulfur metabolism disease
Diverticulitis	http://www.ebi.ac.uk/efo/EFO_1001460	diverticulitis
Diverticulosis	http://www.ebi.ac.uk/efo/EFO_0009959	diverticular disease
Diverticulosis and diverticulitis	http://www.ebi.ac.uk/efo/EFO_1001460	diverticulitis
Diverticulosis and diverticulitis	http://www.ebi.ac.uk/efo/EFO_0009959	diverticular disease
Diverticulum of esophagus, acquired	http://www.ebi.ac.uk/efo/EFO_1000930	esophageal diverticulosis
Drusen (degenerative) of retina	http://www.ebi.ac.uk/efo/EFO_1001155	retinal drusen
Dry eyes	http://purl.obolibrary.org/obo/HP_0001097	Keratoconjunctivitis sicca
Duodenal ulcer	http://www.ebi.ac.uk/efo/EFO_0004607	duodenal ulcer
Duodenitis	http://purl.obolibrary.org/obo/MONDO_0004627	duodenitis
Dyschromia and Vitiligo	http://www.ebi.ac.uk/efo/EFO_1000755	Pigmentation disease
Dyschromia and Vitiligo	http://www.ebi.ac.uk/efo/EFO_0004208	Vitiligo
Dyshidrosis	http://www.ebi.ac.uk/efo/EFO_1000688	dyshidrosis
Dysmenorrhea	http://purl.obolibrary.org/obo/HP_0100607	Dysmenorrhea
Dysmetabolic syndrome X	http://www.ebi.ac.uk/efo/EFO_0000195	metabolic syndrome
Dyspareunia	http://purl.obolibrary.org/obo/HP_0030016	Dyspareunia
Dyspepsia and other specified disorders of function of stomach	http://www.ebi.ac.uk/efo/EFO_0008533	dyspepsia
Dyspepsia and other specified disorders of function of stomach	http://purl.obolibrary.org/obo/MONDO_0001318	functional gastric disease
Dysphagia	http://purl.obolibrary.org/obo/HP_0002015	Dysphagia
Dysthymic disorder	http://www.ebi.ac.uk/efo/EFO_0008623	dysthymic disorder
Dystrophy of female genital tract	http://www.ebi.ac.uk/efo/EFO_0009549	female reproductive system disease
Dysuria	http://www.ebi.ac.uk/efo/EFO_0003901	dysuria
E. coli	http://www.ebi.ac.uk/efo/EFO_1001318	Escherichia coli Infections
Early or threatened labor; hemorrhage in early pregnancy	http://www.ebi.ac.uk/efo/EFO_0003917	premature labour
Early or threatened labor; hemorrhage in early pregnancy	http://www.ebi.ac.uk/efo/EFO_0009682	pregnancy disorder
Eating disorder	http://www.ebi.ac.uk/efo/EFO_0005203	eating disorder
Ectropion or entropion	http://purl.obolibrary.org/obo/MONDO_0002043	ectropion (disease)
Ectropion or entropion	http://purl.obolibrary.org/obo/MONDO_0001519	entropion (disease)
Edema	http://www.ebi.ac.uk/efo/EFO_0009373	edema
Effects radiation NOS	http://purl.obolibrary.org/obo/GO_0009314	response to radiation
Electrolyte imbalance	http://purl.obolibrary.org/obo/HP_0001939	Abnormality of metabolism/homeostasis 
Elevated blood pressure reading without diagnosis of hypertension	http://purl.obolibrary.org/obo/HP_0032263	Increased blood pressure
Elevated C-reactive protein (CRP)	http://purl.obolibrary.org/obo/HP_0011227	Elevated C-reactive protein level 
Elevated prostate specific antigen [PSA]	http://purl.obolibrary.org/obo/HP_0025020 	Elevated prostate-specific antigen level
Elevated sedimentation rate	http://purl.obolibrary.org/obo/HP_0003565	Elevated erythrocyte sedimentation rate
Elevated white blood cell count	http://purl.obolibrary.org/obo/HP_0001974	Leukocytosis 
Elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	http://purl.obolibrary.org/obo/HP_0002910	Elevated hepatic transaminase
Elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	NEW TERM REQUEST	Increased lactic acid dehydrogenase levels
Emphysema	http://www.ebi.ac.uk/efo/EFO_0000464	emphysema
Empyema and pneumothorax	http://www.ebi.ac.uk/efo/EFO_0003097	empyema
Empyema and pneumothorax	http://purl.obolibrary.org/obo/HP_0002107	pneumothorax
Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin	http://purl.obolibrary.org/obo/GO_0061476	response to anticoagulant
